| Fase | Módulo                         | Complejidad | Dependencias previas   | Ideal para empezar | Motivo                                                             |
| ---- | ------------------------------ | ----------- | ---------------------- | ------------------ | ------------------------------------------------------------------ |
| 1    | Recruitment Process (Timeline) | 🟢 Baja     | Ninguna                | ✅ Sí               | Permite probar rutas dinámicas, mock data y navegación             |
| 2    | Onboarding Assignment          | 🟢 Baja     | Voluntario asignado    | ✅ Sí               | Interfaz simple, lista para mockear equipos y roles                |
| 3    | Volunteer Dashboard            | 🟢 Baja     | Registro completado    | ✅ Sí               | Dashboard visual con progreso, útil para mostrar avances iniciales |
| 4    | Evaluation                     | 🟡 Media    | Supervisores asignados | 🔸 Opcional        | Ideal para evaluar interacciones con formularios                   |
| 5    | Admin Dashboard (Back Office)  | 🟡 Media    | Reclutamiento iniciado | 🔸 Opcional        | Tabla con filtros, bueno para simular lógica de gestión            |
| 6    | CV Profile (HTML Generator)    | 🔴 Alta     | Uploads/Parsing        | ❌ No               | Requiere más trabajo visual y parsing                              |
| 7    | Scrum Team Board               | 🔴 Alta     | Equipos definidos      | ❌ No               | Interacción compleja con tareas y estados                          |
| 8    | Impact Dashboard               | 🔴 Alta     | Actividad acumulada    | ❌ No               | Ideal para fase final: dashboards + visualización                  |
| 9    | Registration (Form)            | 🟡 Media    | Integración de datos   | 🔸 Luego           | Puede posponerse, requiere validaciones e inputs                   |
| 10   | Login / Auth                   | 🟡 Media    | Backend listo          | 🔸 Último          | Mejor dejarlo para cuando haya persistencia real                   |
